62324 72056 0	86400	WO	IV	M	1
62324 56816 0	86400	WO	IV	M	1
62324 93556 0	86400	WO	IV	M	1
62324 9995513 0	86400	WO	IV	M	1
48718 72056 0	86400	WO	IV	M	1
48718 56816 0	86400	WO	IV	M	1
48718 93556 0	86400	WO	IV	M	1
48718 9995513 0	86400	WO	IV	M	1
83620 72056 0	86400	WO	IV	M	1
83620 56816 0	86400	WO	IV	M	1
83620 93556 0	86400	WO	IV	M	1
83620 9995513 0	86400	WO	IV	M	1
85760 72056 0	86400	WO	IV	M	1
85760 56816 0	86400	WO	IV	M	1
85760 93556 0	86400	WO	IV	M	1
85760 9995513 0	86400	WO	IV	M	1
72056 110320 0	86400	WO	IV	M	1
72056 83620 0	86400	WO	IV	M	1
72056 54744 0	86400	WO	IV	M	1
72056 9995513 0	86400	WO	IV	M	1
56816 110320 0	86400	WO	IV	M	1
56816 83620 0	86400	WO	IV	M	1
56816 54744 0	86400	WO	IV	M	1
56816 9995513 0	86400	WO	IV	M	1
93556 110320 0	86400	WO	IV	M	1
93556 83620 0	86400	WO	IV	M	1
93556 54744 0	86400	WO	IV	M	1
93556 9995513 0	86400	WO	IV	M	1
9995513 110320 0	86400	WO	IV	M	1
9995513 83620 0	86400	WO	IV	M	1
61614 93556 0	86400	WO	IV	M	1
93556 61614 0	86400	WO	IV	M	1
62324 56816 0	86400	WO	IV	M	1
72510 106998 0	86400	WO	IV	M	1
106998 72510 0	86400	WO	IV	M	1
85760 72510 0	86400	WO	IV	M	1
85760 106998 0	86400	WO	IV	M	1
48718 106998 0	86400	WO	IV	M	1
48718 72510 0	86400	WO	IV	M	1
72510 54744 0	86400	WO	IV	M	1
106998 54744 0	86400	WO	IV	M	1
9995513 54744 0	86400	WO	IV	M	1
9995513 72056 0	86400	WO	IV	M	1
9995513 56816 0	86400	WO	IV	M	1
93556 56816 0	86400	WO	IV	M	1
