{	87	39	0.18	1.1	0.6	1.30556	8	0.01	}	
{	88	40	0.18	1.1	0.6	1.56667	8	0.01	}	
{	89	38	0.18	1.1	0.6	0.533333	8	0.01	}	
{	90	39	0.18	1.1	0.6	0.533333	8	0.01	}	
{	91	35	0.18	1.1	0.6	0.522222	8	0.01	}	
{	92	36	0.18	1.1	0.6	0.522222	8	0.01	}	
{	93	39	0.18	1.1	0.6	0.522222	8	0.01	}	
{	94	41	0.18	1.1	0.6	0.222222	8	0.01	}	
{	95	37	0.18	1.1	0.6	1.34444	8	0.01	}	
{	96	37	0.18	1.1	0.6	0.444444	8	0.01	}	
{	97	36	0.18	1.1	0.6	0.522222	8	0.01	}	
{	98	41	0.18	1.1	0.6	0.522222	8	0.01	}	
{	99	37	0.18	1.1	0.6	0.522222	8	0.01	}	
{	100	41	0.18	1.1	0.6	0.522222	8	0.01	}	
{	101	40	0.18	1.1	0.6	0.522222	8	0.01	}	
{	102	36	0.18	1.1	0.6	0.222222	8	0.01	}	
{	103	36	0.18	1.1	0.6	0.522222	8	0.01	}	
{	104	35	0.18	1.1	0.6	0.522222	8	0.01	}	
{	105	40	0.18	1.1	0.6	0.783333	8	0.01	}	
{	106	38	0.18	1.1	0.6	0.783333	8	0.01	}	
{	107	36	0.18	1.1	0.6	0.444444	8	0.01	}	
{	108	39	0.18	1.1	0.6	0.444444	8	0.01	}	
{	109	55	0.18	1.1	0.6	0.983333	8	0.01	}	
{	110	55	0.18	1.1	0.6	1.70556	8	0.01	}	
{	111	55	0.18	1.1	0.6	11.3333	8	0.01	}	
{	112	55	0.18	1.1	0.6	1.54444	8	0.01	}	
{	113	55	0.18	1.1	0.6	1.86667	8	0.01	}	
{	114	40	0.18	1.1	0.6	11.3333	8	0.01	}	
{	115	55	0.18	1.1	0.6	1.54444	8	0.01	}	
{	116	55	0.18	1.1	0.6	1.50556	8	0.01	}	
{	117	37	0.18	1.1	0.6	0.783333	8	0.01	}	
{	118	38	0.18	1.1	0.6	0.783333	8	0.01	}	
{	119	38	0.18	1.1	0.6	0.783333	8	0.01	}	
{	120	35	0.18	1.1	0.6	0.783333	8	0.01	}	
{	121	38	0.18	1.1	0.6	0.783333	8	0.01	}	
{	122	39	0.18	1.1	0.6	0.222222	8	0.01	}	
{	123	40	0.18	1.1	0.6	0.783333	8	0.01	}	
{	124	37	0.18	1.1	0.6	0.783333	8	0.01	}	
{	125	38	0.18	1.1	0.6	0.783333	8	0.01	}	
{	126	37	0.18	1.1	0.6	0.783333	8	0.01	}	
{	127	40	0.18	1.1	0.6	0.783333	8	0.01	}	
{	128	41	0.18	1.1	0.6	0.783333	8	0.01	}	
{	129	39	0.18	1.1	0.6	0.783333	8	0.01	}	
{	130	40	0.18	1.1	0.6	0.444444	8	0.01	}	
{	131	37	0.18	1.1	0.6	0.522222	8	0.01	}	
{	132	38	0.18	1.1	0.6	0.822222	8	0.01	}	
{	133	37	0.18	1.1	0.6	0.533333	8	0.01	}	
{	134	39	0.18	1.1	0.6	0.533333	8	0.01	}	
{	135	39	0.18	1.1	0.6	0.522222	8	0.01	}	
{	136	37	0.18	1.1	0.6	0.444444	8	0.01	}	
{	137	41	0.18	1.1	0.6	0.444444	8	0.01	}	
{	138	38	0.18	1.1	0.6	1.30556	8	0.01	}	
{	139	36	0.18	1.1	0.6	1.50556	8	0.01	}	
{	140	40	0.18	1.1	0.6	1.50556	8	0.01	}	
{	141	37	0.18	1.1	0.6	1.34444	20	0.01	}	
{	142	40	0.18	1.1	0.6	0.422222	8	0.01	}	
{	143	39	0.18	1.1	0.6	0.783333	8	0.01	}	
{	144	41	0.18	1.1	0.6	0.783333	8	0.01	}	
{	145	35	0.18	1.1	0.6	0.522222	8	0.01	}	
{	146	37	0.18	1.1	0.6	0.444444	8	0.01	}	
{	147	37	0.18	1.1	0.6	0.444444	8	0.01	}	
{	148	38	0.18	1.1	0.6	1.04444	8	0.01	}	
{	149	41	0.18	1.1	0.6	0.522222	8	0.01	}	
{	150	40	0.18	1.1	0.6	0.522222	8	0.01	}	
{	151	37	0.18	1.1	0.6	0.444444	8	0.01	}	
{	152	36	0.18	1.1	0.6	0.783333	8	0.01	}	
{	153	39	0.18	1.1	0.6	0.783333	8	0.01	}	
{	154	39	0.18	1.1	0.6	0.783333	8	0.01	}	
{	155	41	0.18	1.1	0.6	0.522222	8	0.01	}	
{	156	38	0.18	1.1	0.6	0.222222	8	0.01	}	
{	157	37	0.18	1.1	0.6	0.522222	8	0.01	}	
{	158	38	0.18	1.1	0.6	0.522222	8	0.01	}	
{	159	39	0.18	1.1	0.6	0.783333	8	0.01	}	
{	160	38	0.18	1.1	0.6	0.783333	8	0.01	}	
{	161	41	0.18	1.1	0.6	0.783333	8	0.01	}	
{	162	39	0.18	1.1	0.6	0.783333	8	0.01	}	
{	163	38	0.18	1.1	0.6	1.56667	8	0.01	}	
{	164	35	0.18	1.1	0.6	10	8	0.01	}	
{	165	35	0.18	1.1	0.6	10	8	0.01	}	
{	166	37	0.18	1.1	0.6	0.783333	8	0.01	}	
{	167	36	0.18	1.1	0.6	0.522222	8	0.01	}	
{	168	40	0.18	1.1	0.6	1.04444	8	0.01	}	
{	169	38	0.18	1.1	0.6	1.56667	8	0.01	}	
{	170	38	0.18	1.1	0.6	0.783333	8	0.01	}	
{	171	35	0.18	1.1	0.6	0.783333	8	0.01	}	
{	172	38	0.18	1.1	0.6	1.04444	8	0.01	}	
{	173	38	0.18	1.1	0.6	1.04444	8	0.01	}	
{	174	55	0.18	1.1	0.6	0.783333	8	0.01	}	
{	175	55	0.18	1.1	0.6	0.783333	8	0.01	}	
{	176	55	0.18	1.1	0.6	0.783333	8	0.01	}	
{	177	41	0.18	1.1	0.6	0.444444	8	0.01	}	
{	178	40	0.18	1.1	0.6	0.444444	8	0.01	}	
{	179	39	0.18	1.1	0.6	0.522222	8	0.01	}	
{	180	59	0.18	1.1	0.6	2.77778	8	0.01	}	
{	181	40	0.18	1.1	0.6	0.444444	8	0.01	}	
{	182	37	0.18	1.1	0.6	0.444444	8	0.01	}	
{	183	41	0.18	1.1	0.6	0.444444	8	0.01	}	
{	184	39	0.18	1.1	0.6	0.444444	8	0.01	}	
{	185	41	0.18	1.1	0.6	0.444444	8	0.01	}	
{	186	40	0.18	1.1	0.6	0.888889	8	0.01	}	
{	187	37	0.18	1.1	0.6	0.888889	8	0.01	}	
{	188	40	0.18	1.1	0.6	0.666667	8	0.01	}	
{	189	38	0.18	1.1	0.6	0.522222	8	0.01	}	
{	190	38	0.18	1.1	0.6	0.444444	8	0.01	}	
{	191	60	0.18	1.1	0.6	2.77778	8	0.01	}	
{	192	61	0.18	1.1	0.6	2.77778	8	0.01	}	
{	193	60	0.18	1.1	0.6	2.77778	8	0.01	}	
{	194	60	0.18	1.1	0.6	2.77778	8	0.01	}	
{	195	60	0.18	1.1	0.6	2.77778	8	0.01	}	
{	196	60	0.18	1.1	0.6	2.77778	8	0.01	}	
{	197	40	0.18	1.1	0.6	1.30556	8	0.01	}	
{	198	40	0.18	1.1	0.6	1.04444	8	0.01	}	
{	199	38	0.18	1.1	0.6	0.666667	8	0.01	}	
{	200	35	0.18	1.1	0.6	0.783333	8	0.01	}	
{	201	39	0.18	1.1	0.6	0.783333	8	0.01	}	
{	202	38	0.18	1.1	0.6	0.444444	8	0.01	}	
{	203	35	0.18	1.1	0.6	0.177778	8	0.01	}	
{	204	61	0.18	1.1	0.6	2.77778	8	0.01	}	
{	205	57	0.18	1.1	0.6	2.08333	8	0.01	}	
{	206	60	0.18	1.1	0.6	2.08333	8	0.01	}	
{	207	60	0.18	1.1	0.6	2.08333	8	0.01	}	
{	208	60	0.18	1.1	0.6	2.08333	8	0.01	}	
{	209	60	0.18	1.1	0.6	2.08333	8	0.01	}	
{	210	40	0.18	1.1	0.6	0.444444	8	0.01	}	
{	211	40	0.18	1.1	0.6	0.444444	8	0.01	}	
{	212	38	0.18	1.1	0.6	0.444444	8	0.01	}	
{	213	38	0.18	1.1	0.6	0.522222	8	0.01	}	
{	214	36	0.18	1.1	0.6	1.04444	8	0.01	}	
{	215	39	0.18	1.1	0.6	0.783333	8	0.01	}	
{	216	40	0.18	1.1	0.6	1.04444	8	0.01	}	
{	217	35	0.18	1.1	0.6	1.04444	8	0.01	}	
{	218	38	0.18	1.1	0.6	1.30556	8	0.01	}	
{	219	36	0.18	1.1	0.6	1.04444	8	0.01	}	

<END>
