29700
{
0 1 133
1 1 157
2 1 252
3 1 511
4 1 180
5 1 227
6 1 100
7 1 243
8 1 148
9 1 293
10 1 229
11 1 3
12 1 276
13 1 352
14 1 752
15 1 303
16 1 297
17 1 482
18 1 366
19 1 24
20 1 832
21 1 1140
22 1 161
23 1 182
24 1 33
25 1 43
26 1 180
27 1 90
28 1 211
29 1 263
30 1 97
31 1 528
32 1 15
33 1 14
34 1 135
35 1 651
36 1 72
37 1 72
38 1 144
39 1 1365
40 1 367
41 1 243
42 1 1365
43 1 1365
44 1 1365
45 1 1365
46 1 1365
47 1 486
48 1 156
49 1 159
50 1 990
51 1 990
52 1 990
53 1 990
54 1 752
55 1 378
56 1 408
57 1 264
}

30600
{
0 1 124
1 1 226
2 1 298
3 1 602
4 1 198
5 1 182
6 1 126
7 1 232
8 1 166
9 1 355
10 1 239
11 1 1
12 1 180
13 1 245
14 1 892
15 1 254
16 1 262
17 1 482
18 1 383
19 1 38
20 1 749
21 1 1073
22 1 228
23 1 222
24 1 61
25 1 60
26 1 223
27 1 84
28 1 289
29 1 348
30 1 88
31 1 604
32 1 32
33 1 29
34 1 160
35 1 695
36 1 76
37 1 72
38 1 122
39 1 1465
40 1 387
41 1 296
42 1 1465
43 1 1465
44 1 1465
45 1 1465
46 1 1465
47 1 527
48 1 161
49 1 161
50 1 1090
51 1 1090
52 1 1090
53 1 1090
54 1 892
55 1 377
56 1 365
57 1 277
}

31500
{
0 1 120
1 1 185
2 1 303
3 1 594
4 1 191
5 1 182
6 1 123
7 1 275
8 1 148
9 1 345
10 1 311
11 1 2
12 1 210
13 1 317
14 1 885
15 1 301
16 1 318
17 1 503
18 1 392
19 1 47
20 1 736
21 1 1074
22 1 224
23 1 222
24 1 65
25 1 62
26 1 219
27 1 94
28 1 323
29 1 355
30 1 113
31 1 545
32 1 30
33 1 23
34 1 132
35 1 705
36 1 59
37 1 60
38 1 127
39 1 1364
40 1 326
41 1 254
42 1 1364
43 1 1364
44 1 1364
45 1 1364
46 1 1364
47 1 545
48 1 208
49 1 206
50 1 1030
51 1 1030
52 1 1030
53 1 1030
54 1 885
55 1 368
56 1 379
57 1 337
}

32400
{
0 1 160
1 1 226
2 1 320
3 1 652
4 1 236
5 1 210
6 1 109
7 1 251
8 1 162
9 1 367
10 1 279
11 1 3
12 1 203
13 1 382
14 1 873
15 1 372
16 1 372
17 1 529
18 1 448
19 1 52
20 1 696
21 1 1045
22 1 224
23 1 222
24 1 74
25 1 63
26 1 251
27 1 111
28 1 333
29 1 382
30 1 111
31 1 584
32 1 39
33 1 28
34 1 153
35 1 780
36 1 78
37 1 71
38 1 104
39 1 1471
40 1 471
41 1 356
42 1 1471
43 1 1471
44 1 1471
45 1 1471
46 1 1471
47 1 578
48 1 220
49 1 194
50 1 1062
51 1 1062
52 1 1062
53 1 1062
54 1 873
55 1 403
56 1 381
57 1 299
}

33300
{
